Scotland,Woman,OnBreakOrWorking,CurrentBreakLength,CurrentBreakReason,CurrentBreakObstacles,CurrentBreakWhenReturn,WorkingArrangements,WorkingChanges,WorkingBreakLength,WorkingBreakReason,WorkingBreakObstacles,MultipleCareerBreaksNumber,MultipleCareerBreaksTotaLenth,MultipleCareerBreaksReasons,MultipleCareerBreaksDiffImpact,AllWorkMeaning,AllBreakActivity,SupportAffordableChildcare,SupportFlexWorkEmployers,SupportThroughEmployer,AllCharacteristics,AllChildrenInHousehold,AllChildrenWithASN,AllAge,AllEducation,AllYearsWorkexperience,AllEthnicity,AllPostcode
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working fewer hours than before/ I would like to/ am able to ;Slower career progression ;,6 months to 2 years,Maternity Leave;,Lack of support (family/network) ;Lack in confidence;Lack of jobs (with progression);Career switch (can’t afford);,"Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,No – the first or earlier break(s) had the main negative impact,Earning money to provide for myself/my family;Financial independance;Contributing to society;Being a positive role model;Contributing to my savings/retirement;,Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;,2 children,No,40 to 49 years,Bachelor's degree or equivalent,15-20 years,White Scottish,EH15
Yes,Yes,working,,,,,I am currently on maternity leave (within the 26 weeks of statutory mat. leave) due to go back to employment,I am now working below my former career level;I am now working below my potential/skills;I changed career;I am earning less;My stress levels have increased ;,6 months to 2 years,Relocation;,Lack of jobs (local area);Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Lack of market insight;Relocation (struggle with culture/market);Unsuccessful applications;Discrimination (age/gender/ethnicity);,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independance;Contributing to my savings/retirement;Following my ambition;",(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,very helpful,very helpful,no need for this,Motherhood;Minority ethnic woman;Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);,1 child,No,30 to 39 years,Bachelor's degree or equivalent,15-20 years,"Indian, Indian Scottish or Indian British",EH47
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work","Nothing has changed, I picked up after my break where I had left;",6 months to 2 years,Maternity Leave;,"No obstacles, it was planned and/or worked out well ;","Yes, two separate breaks of at least 6 months each",Less than 2 years,Same or related reasons,No – the first or earlier break(s) had the main negative impact,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Following my ambition;Contributing to society;",Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;,2 children,No,40 to 49 years,Master's dregree or equivalent,Over 20 years,White Scottish,EH15
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",I am earning more;My stress levels have increased ;I am more confident in my skills/the work I do;My career progressed/ developed after my break;,2 to 5 years,Childcare;,Lack of care provision;Lack of affordable care;Lack of flexible jobs;Unsuccessful applications;,"No, only one break of 6 months or more",,,,"Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Being a positive role model;Following my ambition;Contributing to society;",Studying - full-time or part-time;Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Caring for a child with additional support needs (of any age);,2 children,Yes,40 to 49 years,Bachelor's degree or equivalent,15-20 years,White Scottish,G72
Yes,Yes,onbreak,2 to 5 years,Childcare;,Lack of flexible jobs;,Immediately,,,,,,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Being a positive role model;",(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,very helpful,very helpful,nice to have,Motherhood;,1 child,No,40 to 49 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,Prefer not to say,G73
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;,Lack of flexible jobs;Unsuccessful applications;Lack of care provision;,Immediately,,,,,,"No, only one break of 6 months or more",,,,Financial independance;Making change for future generations;Meeting family expectations;Contributing to my savings/retirement;Independance from other people's decisions;,Studying - full-time or part-time;Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Lone parent;,1 child,No,30 to 39 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Up to 5 years,"Black, Black Scottish or Black British",EH16 4HS 
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;,Lack of affordable care;,Within the next three months,,,,,,"Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,Not sure,"Following my ambition;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Earning money to provide for myself/my family;",Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;None;,2 children,No,30 to 39 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",15-20 years,Polish,eh24 9ex
Yes,Yes,working,,,,,"I am working full-time, without flexibility regarding where and/or when to work",My career progressed/ developed after my break;I am working more hours than before;I changed career;I am earning more;My stress levels have increased ;,6 months to 2 years,Burn-out;,Lack of jobs (salary/experience);Lack of jobs (with progression);,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independance;Contributing to my savings/retirement;Independance from other people's decisions;",Studying - full-time or part-time;(Re)Training;,no need for this,very helpful,very helpful,Mental health issues;Experience of trauma;,No child,,40 to 49 years,Bachelor's degree or equivalent,15-20 years,White Other British,PA11
Yes,Yes,onbreak,6 months to 2 years,Health reasons/disability/recovery;Menopause;,Health issues (unable to work);Health issue (lack of support);Lack in confidence;,Within the next three months,,,,,,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Contributing to society;",Seeking treatment for health issues ;,N/A,very helpful,very helpful,Perimenopausal or Menopausal;,No child,,40 to 49 years,Master's dregree or equivalent,Over 20 years,White Scottish,EH30
Yes,Yes,onbreak,6 months to 2 years,Health reasons/disability/recovery;Burn-out;,Health issues (unable to work);Health issue (lack of support);Lack of flexible jobs;Lack of jobs (with progression);Lack of confidence in skills/experience;Lack in confidence;Career switch (can’t afford);Not knowing where to start;,Within six months,,,,,,"No, only one break of 6 months or more",,,,Independance from other people's decisions;Earning money to provide for myself/my family;Following my dreams;Filfilment;Making change for future generations;,(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Volunteering;,no need for this,very helpful,no need for this,"Mental health issues;Disabled or chronic health condition;ADHD, autism or other neurodivergence ;LGBTQIA+;Experience of trauma;",No child,,22 to 29 years,Secondary/high school education ,Up to 5 years,White Other British,Eh8
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;,Timing not right;Lack of affordable care;Lack of flexible jobs;,Within six months,,,,,,"Yes, three or more separate breaks of at least 6 months each",3 to 5 years,Same or related reasons,The different breaks had different impacts which are not related,Earning money to provide for myself/my family;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;,4 or more children,No,30 to 39 years,Bachelor's degree or equivalent,10-15 years,"Asian, Asian Scottish or Asian British",Eh6
Yes,Yes,working,,,,,"I am self-employed, working less than 30h/week",My career progressed/ developed after my break;I am working more hours than before;I am earning more;I had to build up my business again from nothing ;I am less confident in my skills/ the work I do;,6 months to 2 years,Maternity Leave;Health reasons/disability/recovery;,I had to build up my business again from nothing ;,"Yes, two separate breaks of at least 6 months each",Less than 2 years,Different or unrelated reasons,The different breaks had different impacts which are not related,Earning money to provide for myself/my family;Following my ambition;Contributing to society;Meeting family expectations;Filfilment;,Stay-at-home parent;,very helpful,very helpful,no need for this,Motherhood;LGBTQIA+;,1 child,No,40 to 49 years,Bachelor's degree or equivalent,Over 20 years,White Other British,EH4
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",I am now working below my former career level;I am working more hours than before;,6 months to 2 years,Redundancy;,Lack of jobs (salary/experience);Lack of jobs (with progression);Lack of market insight;Lack in confidence;Career switch (unsure what);Unsuccessful applications;,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Contributing to my savings/retirement;Contributing to society;,Studying - full-time or part-time;Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Mental health issues;,1 child,No,30 to 39 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,White Scottish,Eh15
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I changed career;,6 months to 2 years,Burn-out;,"No obstacles, it was planned and/or worked out well ;","Yes, two separate breaks of at least 6 months each",Less than 2 years,Different or unrelated reasons,No – the first or earlier break(s) had the main negative impact,Earning money to provide for myself/my family;Being a positive role model;Giving my personal best;,Studying - full-time or part-time;(Re)Training;Volunteering;Stay-at-home parent;,no need for this,very helpful,very helpful,Motherhood;Lone parent;Perimenopausal or Menopausal;Mental health issues;Woman affected by domestic abuse;Experience of trauma;,1 child,No,40 to 49 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,White Scottish,Eh23
Yes,Yes,onbreak,6 months to 2 years,Childcare;,Lack of affordable care;Lack of support (family/network);Timing not right;Lack of flexible jobs;Career switch (unsure what);Unsuccessful applications;,In about a year,,,,,,"No, only one break of 6 months or more",,,,Filfilment;Following my ambition;Making change for future generations;Being a positive role model;Earning money to provide for myself/my family;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;,2 children,No,30 to 39 years,Master's dregree or equivalent,10-15 years,Any other White ethnic group,EH16
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work","I had a 12 month break from June 2019 to have first daughter, returned to 4 day week (28 hours) I then went off on mat leave for 12 months June 2021 and returned to say hours.  Currently 1 day in office and 3 days at home.  Moved roles this year and had a pay increase. ;",6 months to 2 years,Maternity Leave;,"No obstacles, it was planned and/or worked out well ;","Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,Yes – later break(s) had a more significant and mostly positive impact,"Earning money to provide for myself/my family;Financial independance;Filfilment;Being in adult company, using my brain for other things rather than what’s for dinner tonight!;",Stay-at-home parent;,no need for this,very helpful,nice to have,Motherhood;,2 children,No,40 to 49 years,Bachelor's degree or equivalent,15-20 years,White Scottish,G61
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working below my former career level;,2 to 5 years,Childcare;,Lack of flexible jobs;,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;,Stay-at-home parent;,nice to have,very helpful,very helpful,Motherhood;,2 children,No,30 to 39 years,Master's dregree or equivalent,10-15 years,White Scottish,G82
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work","Nothing has changed, I picked up after my break where I had left;I am less confident in my skills/ the work I do;I am now working below my potential/skills;",6 months to 2 years,Maternity Leave;,"No obstacles, it was planned and/or worked out well ;Career switch (unsure what);","No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;,Stay-at-home parent;,N/A,very helpful,N/A,Motherhood;Perimenopausal or Menopausal;,1 child,No,50 to 59 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,White Other British,Eh24 9er
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;,Lack of care provision;Lack of affordable care;Lack of support (family/network);Lack of jobs (local area);Lack of jobs (salary/experience);Lack of flexible jobs;Career switch (can’t afford);Discrimination (career gap);,Within the next three months,,,,,,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to society;Following my dreams;Being a positive role model;",Stay-at-home parent;Volunteering;,very helpful,very helpful,very helpful,Motherhood;LGBTQIA+;Experience of trauma;,1 child,No,30 to 39 years,Master's dregree or equivalent,10-15 years,White Other British,Fk10
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I changed career;I am earning less;I am now working fewer hours than before/ I would like to/ am able to ;I am now working below my potential/skills;,2 to 5 years,Childcare;,Lack of care provision;Lack of affordable care;Lack of support (family/network) ;Lack of jobs (local area);Lack of flexible jobs;,"Yes, two separate breaks of at least 6 months each",more than 5 years,Same or related reasons,Not sure,Earning money to provide for myself/my family;Financial independance;Following my ambition;Being a positive role model;Making change for future generations;,Studying - full-time or part-time;Volunteering;Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;Caring for a child with additional support needs (of any age);Lone parent;Woman affected by domestic abuse;Experience of trauma;,2 children,Yes,30 to 39 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",5-10 years,White Scottish,Fk7
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work","Nothing has changed, I picked up after my break where I had left;",6 months to 2 years,Just wanted a break ;,"No obstacles, it was planned and/or worked out well ;","No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Contributing to my savings/retirement;Contributing to society;Financial independance;,"None - relaxing, spending time with friends;",no need for this,no need for this,no need for this,Perimenopausal or Menopausal;,No child,,50 to 59 years,Bachelor's degree or equivalent,Over 20 years,White Scottish,PH3
Yes,Yes,working,,,,,Employed with limited flexibility of hours but flexible location. Also Self employed to make up  income,I am working more hours than before;My stress levels have increased ;,more than 5 years,Childcare;Redundancy;Relocation;,Lack of affordable care;Lack of support (family/network) ;Health issues (unable to work) ;Health issue (lack of support);Lack of jobs (local area);Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Lack of market insight;Not knowing where to start;Discrimination (career gap);,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Financial independance;Contributing to my savings/retirement;Independance from other people's decisions;,Volunteering;Stay-at-home parent;,very helpful,very helpful,N/A,Caring for a child with additional support needs (of any age);Motherhood;Lone parent;Perimenopausal or Menopausal;Woman affected by domestic abuse;Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);,2 children,Yes,40 to 49 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,White Other British,Ka11
Yes,Yes,onbreak,2 to 5 years,Redundancy;Health reasons/disability/recovery;,Health issues (unable to work);Health issue (lack of support);Career switch (unsure what);,Immediately,,,,,,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Contributing to my savings/retirement;,(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,nice to have,very helpful,very helpful,Mental health issues;LGBTQIA+;,No child,,30 to 39 years,Bachelor's degree or equivalent,5-10 years,White Scottish,Eh14 1rg
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I am now working fewer hours than before/ I would like to/ am able to ;,more than 5 years,Travelling;,Career switch (can’t afford);Career switch (unsure what);,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independance;Independance from other people's decisions;Contributing to society;",(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,no need for this,very helpful,very helpful,Mental health issues;Experience of trauma;,No child,,40 to 49 years,Bachelor's degree or equivalent,Over 20 years,White Scottish,EH11 4FH
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I am now working below my former career level;I am now working below my potential/skills;I changed career;I am earning less;I have a better (work)life balance;,6 months to 2 years,Other Caring Responsibilities;Burn-out;Supporting partner's career;,Not knowing where to start;Career switch (unsure what);Health issues (unable to work) ;Lack of jobs (salary/experience);,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Financial independance;Contributing to my savings/retirement;Being a positive role model;Contributing to society;,Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;Mental health issues;,1 child,No,30 to 39 years,Master's dregree or equivalent,10-15 years,Any mixed or multiple ethnic groups,G12
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I changed career;I am earning more;I have a better (work)life balance;,6 months to 2 years,Maternity Leave;,Lack of support (family/network) ;Lack of affordable care;Lack of flexible jobs;,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Financial independance;Contributing to my savings/retirement;Giving my personal best;Being a positive role model;,(Re)Training;,very helpful,very helpful,very helpful,Motherhood;,1 child,No,22 to 29 years,Bachelor's degree or equivalent,5-10 years,Polish,Eh16
